no,column_name,presentation_label_ko,presentation_label_en,window,feature_family,interpretation_group,value_type,modeling_role,source_stage,source_table,used_in_any_feature_set,used_in_primary_model,used_in_stage07r_true_shap,shap_rank,mean_abs_shap,example_values_or_range,missing_rate,unique_count,calculation_logic,plain_interpretation,caution,target_adjacent_or_redundancy_flag,final_use_recommendation,do_not_claim
26,w1_3_week2_watch_time,1~3주 2주차 시청 시간,w1 3 week2 watch time,w1_3,usage,weekly_watch_time,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,28,0.0442396255948881,"min=0.0, median=23.0, max=2957.0",0.0,859,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
27,w1_3_week3_watch_time,1~3주 3주차 시청 시간,w1 3 week3 watch time,w1_3,usage,weekly_watch_time,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,1,0.6197008105835925,"min=0.0, median=26.0, max=2691.0",0.0,845,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
28,w1_3_week1_sessions,1~3주 1주차 세션 수,w1 3 week1 sessions,w1_3,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,52,0.0072694340720925,"min=0, median=1.0, max=70",0.0,37,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
29,w1_3_week2_sessions,1~3주 2주차 세션 수,w1 3 week2 sessions,w1_3,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,54,0.0064420320232905,"min=0, median=1.0, max=60",0.0,36,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
30,w1_3_week3_sessions,1~3주 3주차 세션 수,w1 3 week3 sessions,w1_3,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,20,0.0752554623068768,"min=0, median=1.0, max=41",0.0,37,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
31,w1_3_week1_ratio,1~3주 1주차 시청 비중,w1 3 week1 ratio,w1_3,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,3,0.2271942557578525,"min=0.0, median=0.205674, max=1.0",0.0,10087,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
32,w1_3_week2_ratio,1~3주 2주차 시청 비중,w1 3 week2 ratio,w1_3,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,19,0.0778312643183661,"min=0.0, median=0.181818, max=1.0",0.0,10324,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
33,w1_3_week3_ratio,1~3주 3주차 시청 비중,w1 3 week3 ratio,w1_3,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,11,0.1088529268431624,"min=0.0, median=0.190678, max=1.0",0.0,10129,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
34,w1_3_w2_minus_w1_watch_time,1~3주 w2 minus w1 watch time,w1 3 w2 minus w1 watch time,w1_3,usage,week_to_week_delta,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,2,0.2647630997593521,"min=-3444.0, median=0.0, max=2957.0",0.0,1390,두 주차의 시청 시간 차이입니다.,주차 간 시청량 증가 또는 감소 흐름입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
35,w1_3_w3_minus_w1_watch_time,1~3주 w3 minus w1 watch time,w1 3 w3 minus w1 watch time,w1_3,usage,week_to_week_delta,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,12,0.102541538997512,"min=-4380.0, median=0.0, max=2691.0",0.0,1493,두 주차의 시청 시간 차이입니다.,주차 간 시청량 증가 또는 감소 흐름입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
36,w1_3_max_daily_watch_time,1~3주 일 최대 시청 시간,w1 3 max daily watch time,w1_3,usage,session_intensity,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,17,0.0832244467348795,"min=0.0, median=113.0, max=1248.0",0.0,643,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
38,w1_3_one_minute_watch_count,1~3주 1분 시청 횟수,w1 3 one minute watch count,w1_3,usage,short_watch_behavior,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,69,0.0025466494955258,"min=0, median=1.0, max=41",0.0,33,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
39,w1_3_short_watch_count_le5,1~3주 5분 이하 짧은 시청 횟수,w1 3 short watch count le5,w1_3,usage,short_watch_behavior,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,44,0.0112212321906517,"min=0, median=1.0, max=51",0.0,38,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
40,w1_3_short_watch_time_le5,1~3주 5분 이하 짧은 시청 시간,w1 3 short watch time le5,w1_3,usage,short_watch_behavior,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,39,0.0146095798262026,"min=0.0, median=2.0, max=79.0",0.0,56,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
41,w1_3_content_has_watch_obs,1~3주 콘텐츠 시청 관측 여부,w1 3 content has watch obs,w1_3,content,watch_presence,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,125,0.0,"min=0, median=1.0, max=1",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
42,w1_3_genre_covered_watch_time,1~3주 장르 확인 시청 시간,w1 3 genre covered watch time,w1_3,genre,coverage_missing_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,141,0.0,"min=0.0, median=203.0, max=6474.0",0.0,1553,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
43,w1_3_genre_missing_watch_time,1~3주 장르 미확인 시청 시간,w1 3 genre missing watch time,w1_3,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,140,0.0,"min=0.0, median=0.0, max=0.0",0.0,1,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
44,w1_3_genre_covered_watch_ratio,1~3주 장르 확인 시청 비중,w1 3 genre covered watch ratio,w1_3,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,139,0.0,"min=0.0, median=1.0, max=1.0",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
45,w1_3_genre_missing_watch_ratio,1~3주 장르 미확인 시청 비중,w1 3 genre missing watch ratio,w1_3,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,142,0.0,"min=0.0, median=0.0, max=0.0",0.0,1,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
46,w1_3_genre_unique_count,1~3주 시청 장르 수,w1 3 genre unique count,w1_3,genre,other,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,16,0.0846906631770076,"min=0, median=3.0, max=11",0.0,12,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
48,w1_3_top_genre_watch_time,1~3주 최다 장르 시청 시간,w1 3 top genre watch time,w1_3,genre,genre_preference_ratio,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,40,0.0135417820129679,"min=0.0, median=126.0, max=4388.0",0.0,942,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
50,w1_3_genre_entropy,1~3주 장르 다양성,w1 3 genre entropy,w1_3,genre,genre_preference_ratio,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,49,0.008633633758064,"min=0.0, median=0.953427, max=3.050084",0.0,15132,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
52,w1_3_genre_watch_time_drama,1~3주 drama 장르 시청 시간,w1 3 genre watch time drama,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,23,0.0560247373929157,"min=0.0, median=0.0, max=2275.0",0.0,636,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
53,w1_3_genre_session_count_drama,1~3주 drama 장르 세션 수,w1 3 genre session count drama,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,9,0.1099604910201125,"min=0, median=0.0, max=24",0.0,22,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
55,w1_3_genre_watch_time_thriller_crime,1~3주 thriller/crime 장르 시청 시간,w1 3 genre watch time thriller crime,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,57,0.0050276160445191,"min=0.0, median=0.0, max=1478.0",0.0,544,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
56,w1_3_genre_session_count_thriller_crime,1~3주 thriller/crime 장르 세션 수,w1 3 genre session count thriller crime,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,27,0.0469996792481793,"min=0, median=0.0, max=28",0.0,21,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
58,w1_3_genre_watch_time_sf_fantasy,1~3주 sf/fantasy 장르 시청 시간,w1 3 genre watch time sf fantasy,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,68,0.0025685462079548,"min=0.0, median=0.0, max=2370.0",0.0,684,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
59,w1_3_genre_session_count_sf_fantasy,1~3주 sf/fantasy 장르 세션 수,w1 3 genre session count sf fantasy,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,45,0.0109358081452046,"min=0, median=0.0, max=34",0.0,27,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
61,w1_3_genre_watch_time_action_adventure,1~3주 action/adventure 장르 시청 시간,w1 3 genre watch time action adventure,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,61,0.0044223513087343,"min=0.0, median=0.0, max=1969.0",0.0,519,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
62,w1_3_genre_session_count_action_adventure,1~3주 action/adventure 장르 세션 수,w1 3 genre session count action adventure,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,25,0.0498434435720556,"min=0, median=0.0, max=23",0.0,21,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
64,w1_3_genre_watch_time_animation_family,1~3주 animation/family 장르 시청 시간,w1 3 genre watch time animation family,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,21,0.0652122147130651,"min=0.0, median=0.0, max=1625.0",0.0,603,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
65,w1_3_genre_session_count_animation_family,1~3주 animation/family 장르 세션 수,w1 3 genre session count animation family,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,46,0.0103953987490964,"min=0, median=0.0, max=45",0.0,34,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
67,w1_3_genre_watch_time_romance,1~3주 romance 장르 시청 시간,w1 3 genre watch time romance,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,15,0.0863500757975354,"min=0.0, median=0.0, max=4388.0",0.0,500,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
68,w1_3_genre_session_count_romance,1~3주 romance 장르 세션 수,w1 3 genre session count romance,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,35,0.021600980576815,"min=0, median=0.0, max=40",0.0,23,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
70,w1_3_genre_watch_time_comedy,1~3주 comedy 장르 시청 시간,w1 3 genre watch time comedy,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,56,0.0053866731150454,"min=0.0, median=0.0, max=1803.0",0.0,450,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
71,w1_3_genre_session_count_comedy,1~3주 comedy 장르 세션 수,w1 3 genre session count comedy,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,60,0.0046292079948573,"min=0, median=0.0, max=15",0.0,15,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
73,w1_3_genre_watch_time_historical_war,1~3주 historical/war 장르 시청 시간,w1 3 genre watch time historical war,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,59,0.0046428992088896,"min=0.0, median=0.0, max=1631.0",0.0,531,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
