feature,dtype,is_numeric,is_binary_0_1,non_null_n,missing_rate,n_unique,zero_variance,from_06_candidate_features,force_audit_feature,analysis_group,feature_family,feature_type,decision,source,interpretation_note,p_value,p_value_fdr_global,p_value_fdr_by_group,p_value_fdr_by_group_family,abs_diff,effect_size,rate_or_mean_diff,high_corr_pair_count,max_abs_corr,cluster_id,cluster_representative,cluster_size,is_representative,max_vif,max_vif_severity,structural_relation_count,proposed_action,audit_note
daily_watch_slope,float64,True,False,14922,0.0,1239,False,True,False,all,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,significance_or_force_include,,0.0213907134286958,0.1800594759791985,0.1192694324509101,0.0775413361790224,0.528226159801159,0.0405226065756308,0.528226159801159,1,1.0,6.0,daily_watch_slope,2.0,True,1.0,OK,0,KEEP,특이 중복 신호 없음
alloc_dur_코미디,float64,True,False,14922,0.0,1979,False,True,False,100won_screen4,content,numeric,MODEL_ONLY,significance,,0.0099623244377716,0.0950405751363416,0.2079635226384834,0.3652852293849608,5.338857775539221,0.1158593596890368,5.338857775539221,1,0.9912573121528229,5.0,alloc_dur_코미디,2.0,True,5.951876270673994,WARN,0,KEEP,VIF WARN
max_screen,int64,True,False,14922,0.0,3,False,True,True,100won_screen2,membership,numeric,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,1,0.971779334901306,9.0,max_screen,2.0,True,1.4220271366631752,OK,0,KEEP,특이 중복 신호 없음
week2_ratio,float64,True,False,14922,0.0,6111,False,False,True,,,,,,,,,,,,,,1,0.881407939728454,11.0,week2_ratio,2.0,True,1.0,OK,0,KEEP,특이 중복 신호 없음
promo_x_4screen,int64,True,True,14922,0.0,2,False,True,True,100won_screen2,membership,binary,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,1,0.8682256364272328,10.0,promo_x_4screen,2.0,True,7.8839663389914945,WARN,0,KEEP,VIF WARN
days_since_last_watch_to_obs_end,float64,True,False,14922,0.0,21,False,True,False,all,usage,numeric,KEEP_CORE,significance,,0.0050068193713425,0.0522975074481105,0.0383856151802926,0.0901227486841653,0.2521868877013444,0.0483615628199809,0.2521868877013444,0,,,,,,4.929834757462595,OK,0,KEEP,특이 중복 신호 없음
only_week1_flag,float64,True,True,14922,0.0,2,False,True,False,all,weekly_recency_binge,binary,MODEL_ONLY,significance,,0.0068950593657879,0.0685196524475172,0.0507476369321989,0.0745049511748446,0.0372806119663718,0.0221182634111993,0.0372806119663718,0,,,,,,3.5526991015314335,OK,0,KEEP,특이 중복 신호 없음
promo_x_2screen,int64,True,True,14922,0.0,2,False,True,True,100won_screen2,membership,binary,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,0,,,,,,2.9893198561622136,OK,0,KEEP,특이 중복 신호 없음
family_2screen_lifestyle,int64,True,True,14922,0.0,2,False,True,False,100won_screen4,interaction_segment,binary,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,0,,,,,,2.090366050300281,OK,0,KEEP,특이 중복 신호 없음
promo2_family_lifestyle_candidate,int64,True,True,14922,0.0,2,False,True,False,100won_screen4,interaction_segment,binary,INSUFFICIENT_DATA,significance,,,,,,,,,0,,,,,,2.088158571543044,OK,0,KEEP,특이 중복 신호 없음
stable_2screen_active,int64,True,True,14922,0.0,2,False,True,False,100won_screen4,interaction_segment,binary,INSUFFICIENT_DATA,significance,,,,,,,,,0,,,,,,1.934905732366959,OK,0,KEEP,특이 중복 신호 없음
screen_2_flag,int64,True,True,14922,0.0,2,False,True,True,100won_screen2,membership,binary,INSUFFICIENT_DATA,significance,,,,,,,,,0,,,,,,1.7120461368377369,OK,0,KEEP,특이 중복 신호 없음
premium_action_trial_risk,int64,True,True,14922,0.0,2,False,True,False,100won_screen2,interaction_segment,binary,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,0,,,,,,1.6984129216468287,OK,0,KEEP,특이 중복 신호 없음
discount_sensitive_risk,int64,True,True,14922,0.0,2,False,True,False,100won_screen2,interaction_segment,binary,INSUFFICIENT_DATA,significance,,,,,,,,,0,,,,,,1.6022315965161185,OK,0,KEEP,특이 중복 신호 없음
is_user_verified,int64,True,True,14922,0.0,2,False,True,False,100won,membership,binary,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,0,,,,,,1.5493017819857964,OK,0,KEEP,특이 중복 신호 없음
country_entropy_norm,float64,True,False,14922,0.0,8338,False,True,False,100won_screen2,content,numeric,MODEL_ONLY,significance,,0.0033637765094507,0.0367447647711757,0.1130228907175451,0.3219078648743693,0.0655109432329246,0.1721649005256663,0.0655109432329246,0,,,,,,1.5306839800003649,OK,0,KEEP,특이 중복 신호 없음
alloc_ratio_액션,float64,True,False,14922,0.0,6659,False,True,False,100won_screen4,content,numeric,MODEL_ONLY,significance,,0.0075203001180555,0.0737092429379281,0.1794128742450397,0.3652852293849608,0.0229322202974031,0.1177300013526821,0.0229322202974031,0,,,,,,1.209703807683391,OK,0,KEEP,특이 중복 신호 없음
promo_x_1screen,int64,True,True,14922,0.0,2,False,True,True,100won_screen2,membership,binary,INSUFFICIENT_DATA,significance,,,,,,,,,0,,,,,,1.1800350896655487,OK,0,KEEP,특이 중복 신호 없음
rating_ratio_12세,float64,True,False,14922,0.0,5159,False,True,False,100won_screen2,content,numeric,MODEL_ONLY,significance,,0.005852870270443,0.0601282495896393,0.1638803675724061,0.3219078648743693,0.0512388447963197,0.1687293502183874,0.0512388447963197,0,,,,,,1.146833774837744,OK,0,KEEP,특이 중복 신호 없음
gender,object,False,False,14922,0.0,3,False,True,False,all,membership,categorical,KEEP_CORE,significance_or_force_include,,0.0003601662899371,0.0048622449141519,0.0034879261762337,0.0004502078624214,0.1535493733052002,0.0325993675778433,0.1535493733052002,0,,,,,,1.108495068420429,OK,0,KEEP,특이 중복 신호 없음
billing_method,int64,True,False,14922,0.0,9,False,True,False,all,membership,numeric,KEEP_CORE,significance,,4.140927114612323e-30,1.9115053874226563e-28,6.926641718987885e-29,8.281854229224646e-30,4.08468044840231,0.2081868388101159,4.08468044840231,0,,,,,,1.0694779786667183,OK,0,KEEP,특이 중복 신호 없음
rating_dur_국민학생관람불가,float64,True,False,14922,0.0,22,False,True,False,all,content,numeric,KEEP_CORE,significance,,0.0006244733715781,0.0081238308611672,0.0057451550185193,0.0699410176167578,0.1760151941407089,0.0453302042593052,0.1760151941407089,0,,,,,,1.0132901321307504,OK,0,KEEP,특이 중복 신호 없음
metadata_missing_watch_ratio,float64,True,False,14922,0.0,8,False,False,True,,,,,,,,,,,,,,0,,,,,,1.0094579358625724,OK,0,KEEP,특이 중복 신호 없음
metadata_covered_watch_ratio,float64,True,False,14922,0.0,9,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 has_content_feature
usable_metadata_watch_ratio,float64,True,False,14922,0.0,9,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 has_content_feature
total_sessions,float64,True,False,14922,0.0,54,False,True,False,all,usage,numeric,REJECT,significance_or_force_include,,0.1975222306918312,0.665442780771002,0.597742803738719,0.4900275301564393,0.1318235229834767,0.022453281761959,0.1318235229834767,3,0.9471520387010586,2.0,total_sessions,4.0,True,10.812597658447396,HIGH,0,REVIEW,고상관 연결이 많음; VIF HIGH
unique_days,float64,True,False,14922,0.0,18,False,True,False,all,usage,numeric,REJECT,significance_or_force_include,,0.3582089511208968,0.7520727952331931,0.7007128392221691,0.4900275301564393,0.0429580831573561,0.0160383582626767,0.0429580831573561,3,0.9258726130107923,2.0,total_sessions,4.0,False,5.874191375625605,WARN,0,REVIEW,고상관 연결이 많음; VIF WARN; cluster 대표 변수는 total_sessions
week1_ratio,float64,True,False,14922,0.0,5979,False,True,True,all,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,significance_or_force_include,,0.0102765449896337,0.0961159207853979,0.0652029061411244,0.0745049511748446,0.0155546617895945,0.0445071291071188,0.0155546617895945,2,1.0,3.0,front_loaded_ratio,3.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 front_loaded_ratio
week3_ratio,float64,True,False,14922,0.0,5953,False,True,True,all,weekly_recency_binge,numeric,REJECT,significance_or_force_include,,0.2333186226403969,0.7046037970048605,0.6604711779358929,0.3383120028285755,0.00728049818115,0.0208691902785356,0.00728049818115,2,1.0,4.0,late_ratio,3.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 late_ratio
unique_contents,float64,True,False,14922,0.0,42,False,True,False,all,usage,numeric,REJECT,significance_or_force_include,,0.4083562751303661,0.7719390088659893,0.7015786807301809,0.4900275301564393,0.0606422145061129,0.0144027948563447,0.0606422145061129,2,0.9471520387010586,2.0,total_sessions,4.0,False,7.713262937535945,WARN,0,REVIEW,고상관 연결이 많음; VIF WARN; cluster 대표 변수는 total_sessions
week3_watch_time,float64,True,False,14922,0.0,701,False,False,True,,,,,,,,,,,,,,2,0.8755204472074517,4.0,late_ratio,3.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 late_ratio
total_watch_time,float64,True,False,14922,0.0,1329,False,True,True,all,usage,numeric,REJECT,significance_or_force_include,,0.5279626781647029,0.8326412994901178,0.7709931173198835,0.5590193062920383,3.4845172151819384,0.0111115552159735,3.4845172151819384,2,0.8703086479643499,2.0,total_sessions,4.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 total_sessions
week1_watch_time,float64,True,False,14922,0.0,734,False,False,True,,,,,,,,,,,,,,2,0.8698524608366941,3.0,front_loaded_ratio,3.0,False,1.0,OK,0,REVIEW,고상관 연결이 많음; cluster 대표 변수는 front_loaded_ratio
w3_minus_w1_watch_time,float64,True,False,14922,0.0,1239,False,True,False,all,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,significance_or_force_include,,0.0213907134286958,0.1800594759791985,0.1192694324509101,0.0775413361790224,7.395166237216224,0.0405226065756303,7.395166237216224,1,1.0,6.0,daily_watch_slope,2.0,False,1.0,OK,0,REVIEW,cluster 대표 변수는 daily_watch_slope
tag_dur_코미디,float64,True,False,14922,0.0,553,False,True,False,100won_screen4,content,numeric,MODEL_ONLY,significance,,0.0073484614055871,0.0725217122165182,0.1794128742450397,0.3652852293849608,13.332626906966908,0.1206500501158034,13.332626906966908,1,0.9912573121528229,5.0,alloc_dur_코미디,2.0,False,6.327225901987381,WARN,0,REVIEW,VIF WARN; cluster 대표 변수는 alloc_dur_코미디
screen_1_flag,int64,True,True,14922,0.0,2,False,True,True,100won_screen2,membership,binary,INSUFFICIENT_DATA,significance,,,,,,,,,1,0.971779334901306,9.0,max_screen,2.0,False,1.2624668582716667,OK,0,REVIEW,cluster 대표 변수는 max_screen
week2_watch_time,float64,True,False,14922,0.0,711,False,False,True,,,,,,,,,,,,,,1,0.881407939728454,11.0,week2_ratio,2.0,False,2.1213812203678444,OK,0,REVIEW,cluster 대표 변수는 week2_ratio
screen_4_flag,int64,True,True,14922,0.0,2,False,True,True,100won_screen2,membership,binary,INSUFFICIENT_DATA,significance,,,,,,,,,1,0.8682256364272328,10.0,promo_x_4screen,2.0,False,1.664738603178472,OK,0,REVIEW,cluster 대표 변수는 promo_x_4screen
price,float64,True,False,14922,0.0,26,False,True,True,100won,membership,numeric,INSUFFICIENT_DATA,significance_or_force_include,,,,,,,,,0,,,,,,31.968265825804952,HIGH,0,REVIEW,VIF HIGH
age_band,object,False,False,14922,0.0,6,False,True,False,all,membership,categorical,KEEP_CORE,significance,,7.15799294924671e-54,1.0243087910372044e-51,3.292676756653487e-52,3.5789964746233556e-53,0.2300455939087443,0.1316909952691195,0.2300455939087443,0,,,,,,30.178025560201654,HIGH,0,REVIEW,VIF HIGH
age,int64,True,False,14922,0.0,12,False,True,False,all,membership,numeric,KEEP_CORE,significance_or_force_include,,2.8101448644406367e-35,1.4893767781535378e-33,5.745185056189747e-34,7.025362161101593e-35,2.3628876993782484,0.2197568769137651,2.3628876993782484,0,,,,,,20.316658747066146,HIGH,0,REVIEW,VIF HIGH
payment_device,object,False,False,14922,0.0,6,False,True,False,all,membership,categorical,KEEP_CORE,significance,,2.5195105635328523e-35,1.3866998524675046e-33,5.745185056189747e-34,7.025362161101593e-35,0.2803779175673377,0.1074132349258061,0.2803779175673377,0,,,,,,11.844353994983836,HIGH,0,REVIEW,VIF HIGH
