column_name,dtype,missing_count,unique_count,feature_family,sub_family,original_role_if_known,likely_business_intent,team_feature_or_source_column,availability_at_day21,timing_risk,leakage_risk,target_proxy_risk,response_period_risk,llm_proposed_decision,reason,caution,evidence_source,final_decision_status,user_approval_required
max_inactive_gap_days,int64,0,21,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
avg_rewatch_ratio,float64,0,169,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
weekend_watch_ratio,float64,0,319,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
watch_ratio_under_1m,float64,0,289,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
watch_ratio_under_5m,float64,0,311,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
is_cold_start_3d,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_cold_start_7d,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
movie_per_active_day,float64,0,226,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
max_day_share,float64,0,12004,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
day_count_over_3times,int64,0,12,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
watch_time(min)_w1,int64,0,857,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
watch_time(min)_w2,int64,0,851,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
watch_time(min)_w3,int64,0,842,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
watch_session_w1,int64,0,36,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
watch_session_w2,int64,0,36,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
watch_session_w3,int64,0,37,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
retention_w2_ratio,float64,0,8635,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
retention_w3_ratio,float64,0,8540,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
diff_between_w2_w1,int64,0,1385,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
diff_between_w3_w1,int64,0,1486,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
diff_between_w3_w2,int64,0,1409,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_w1_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_w2_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_w3_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_only_w1,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_only_w2,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
is_only_w3,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
new_movie_in_90d_ratio,float64,0,234,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
new_movie_in_180d_ratio,float64,0,250,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
new_movie_in_365d_ratio,float64,0,275,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
old_movie_ratio(5y),float64,0,225,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
avg_ott_release_year,float64,0,15059,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
genre_diversity_count,int64,0,12,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
action_adventure_ratio,float64,0,6052,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
family_animation_ratio,float64,0,4103,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
drama_ratio,float64,0,8057,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
thriller_crime_ratio,float64,0,6632,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
sf_fantasy_ratio,float64,0,5247,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
comedy_ratio,float64,0,5466,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
romance_ratio,float64,0,5414,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
horror_ratio,float64,0,2335,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
documentary_ratio,float64,0,1945,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
historical_war_ratio,float64,0,4233,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
other_ratio,float64,0,1923,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes
