feature_name,domain,selection_tier,source_columns,formula,short_description,significant_age_count,significant_age_bands,direction_on_significant_bands,min_pvalue,mean_abs_effect_rbc,max_abs_effect_rbc,max_abs_corr_in_final_set,max_corr_partner,vif_centered
mem_billing_method_151_flag,membership,common_core,billing_method,mem_billing_method_151_flag = 1[billing_method = 151],청구 방식 코드 151 사용 여부,4,"20대, 30대, 40대, 60대",20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,4.524471333337836e-118,0.11937395868283332,0.23237632849226197,0.28012091134766426,mem_billing_method_134_flag,2.5984521955689597
mem_is_male,membership,common_core,gender,mem_is_male = 1[gender = 'M'],남성 사용자 여부,4,"20대, 30대, 40대, 60대",20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_lt_nonpromo,9.521147809882483e-138,0.09326897809017268,0.2661944695488906,0.23735380724383318,mem_is_verified,1.1101695026800682
vh_active_day_ratio,view_history,common_core,"watch_day, reg_date, end_date",vh_active_day_ratio = vh_active_day_count / mem_tenure_days,멤버십 기간 대비 실제 시청이 있었던 날짜 비율,4,"20대, 30대, 40대, 60대",20대:promo_lt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,1.2696437137096963e-09,0.061134193062161855,0.11120925341745536,0.5134914419005006,vh_gap_stability_index,1.9964519447729978
mem_device_smarttv_flag,membership,common_core,payment_device,mem_device_smarttv_flag = 1[payment_device = 'smarttv'],smarttv 기기 또는 채널 사용 여부,4,"10대, 20대, 30대, 40대",10대:promo_lt_nonpromo; 20대:promo_lt_nonpromo; 30대:promo_lt_nonpromo; 40대:promo_lt_nonpromo,2.230995956528012e-12,0.014287436319800317,0.016260162601626105,0.08353298232397055,mem_verified_multi_screen,1.0700427360524345
mem_reg_weekday,membership,common_support,reg_date,mem_reg_weekday = weekday(reg_date_dt),가입 요일 숫자,3,"10대, 20대, 30대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo,1.1066065033305143e-06,0.07804099336215357,0.19916142557651995,0.046414324386242226,vh_week4_watch_ratio,1.0098845148326192
mem_billing_method_134_flag,membership,common_support,billing_method,mem_billing_method_134_flag = 1[billing_method = 134],청구 방식 코드 134 사용 여부,3,"30대, 40대, 60대",30대:promo_lt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_lt_nonpromo,1.6306778654931558e-28,0.06174899565708787,0.16304942166140912,0.28012091134766426,mem_billing_method_151_flag,2.687849233066154
vh_end_near_watch_ratio,view_history,common_support,"watch_day, reg_date, end_date",vh_end_near_watch_ratio = 1 - vh_last_watch_gap_ratio,종료일에 가까운 시청 집중 정도,3,"20대, 30대, 40대",20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo,0.0002445810199272461,0.05174793827798392,0.07086976530142663,0.6131106667080862,vh_last_14d_watch_ratio,2.719967680417993
vh_gap_stability_index,view_history,common_support,watch_day,vh_gap_stability_index = 1 / (1 + vh_std_gap_days),시청 간격의 안정성 지수,3,"20대, 40대, 60대",20대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,0.005109126365686126,0.046024193116761,0.1278233438485804,0.5134914419005006,vh_active_day_ratio,1.417718943910321
mem_billing_method_190_flag,membership,common_support,billing_method,mem_billing_method_190_flag = 1[billing_method = 190],청구 방식 코드 190 사용 여부,3,"20대, 30대, 40대",20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo,1.61124683121878e-14,0.045163142153422056,0.060514933367344925,0.17456977916835925,mem_device_mobile_flag,1.7167462420457746
mem_billing_method_180_flag,membership,common_support,billing_method,mem_billing_method_180_flag = 1[billing_method = 180],청구 방식 코드 180 사용 여부,3,"20대, 30대, 40대",20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo,4.148775857062011e-15,0.03646032563625059,0.07111461680909004,0.18757263321169626,mem_billing_method_134_flag,1.8158335982476712
vh_last_14d_watch_ratio,view_history,common_support,"watch_day, watch_time(min), end_date",vh_last_14d_watch_ratio = sum_i watch_time_i x 1[end_date_dt - watch_date_i <= 14] / sum_i watch_time_i,전체 시청 시간 중 종료 14일 이내 시청 비중,3,"20대, 30대, 40대",20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo,0.0022786384228779687,0.03553861623673682,0.05780538937464841,0.6131106667080862,vh_end_near_watch_ratio,2.425836878469766
mem_billing_method_132_flag,membership,age_specific_exploratory,billing_method,mem_billing_method_132_flag = 1[billing_method = 132],청구 방식 코드 132 사용 여부,2,"20대, 40대",20대:promo_gt_nonpromo; 40대:promo_gt_nonpromo,7.908304940087007e-22,0.029849521605165786,0.06429464679795704,0.19049225364954778,mem_billing_method_134_flag,1.826563574755826
mem_billing_method_170_flag,membership,age_specific_exploratory,billing_method,mem_billing_method_170_flag = 1[billing_method = 170],청구 방식 코드 170 사용 여부,2,"10대, 20대",10대:promo_lt_nonpromo; 20대:promo_gt_nonpromo,3.1189716496994015e-05,0.011071310965421511,0.029375671115201785,0.0822939922362888,mem_device_mobile_flag,1.119357291360732
mem_device_ott_flag,membership,age_specific_exploratory,payment_device,mem_device_ott_flag = 1[payment_device = 'ott'],ott 기기 또는 채널 사용 여부,2,"20대, 30대",20대:promo_lt_nonpromo; 30대:promo_lt_nonpromo,1.0716742241580398e-06,0.003316231190315877,0.008796048497472286,0.0498056819210438,mem_verified_multi_screen,1.020151401935488
vh_short_watch_ratio,view_history,age_specific_strong,watch_time(min),vh_short_watch_ratio = (1 / N) x sum_i 1[watch_time_i <= 5],5분 이하 짧은 시청 이벤트 비중,1,20대,20대:promo_gt_nonpromo,0.010925850654760946,0.046495348319860644,0.11315641458301373,0.3031609717895082,vh_recent_release_180d_ratio,1.1688055059558555
vh_recent_release_180d_ratio,view_history,age_specific_strong,"watch_day, ott_release_month",vh_recent_release_180d_ratio = (1 / N) x sum_i 1[0 <= (watch_date_i - release_date_i).days <= 180],최근 180일 이내 공개 작품 시청 비중,1,60대,60대:promo_gt_nonpromo,0.02335715125234067,0.04363338604317748,0.1185488958990536,0.3031609717895082,vh_short_watch_ratio,1.243398579408606
vh_multi_event_day_ratio,view_history,age_specific_exploratory,"watch_day, watch_seq",vh_multi_event_day_ratio = (1 / D) x sum_d 1[events(d) >= 2],하루 2회 이상 시청한 날의 비중,1,40대,40대:promo_lt_nonpromo,0.030777436714190316,0.042509412288067636,0.07866748478805541,0.15810931836713418,vh_week4_watch_min,1.0598982225450777
mem_reg_hour_afternoon,membership,age_specific_exploratory,reg_hour,mem_reg_hour_afternoon = 1[12 <= reg_hour <= 17],오후 시간대 가입 여부,1,20대,20대:promo_gt_nonpromo,0.0002335030420196856,0.035808733628837144,0.06956588433808863,0.27388751914443743,mem_reg_hour_morning,1.0836413019025508
vh_light_genre_share,view_history,age_specific_strong,"genre, watch_time(min)",vh_light_genre_share = genre_share(Comedy) + genre_share(Animation_Family),가벼운 오락 계열 장르 시청 비중,1,60대,60대:promo_gt_nonpromo,0.02936586715758262,0.03562552717883849,0.11741324921135643,0.2538709695129623,vh_tension_genre_share,1.1775484921411035
vh_w3_to_w1_ratio_capped,view_history,age_specific_strong,"watch_day, watch_time(min), reg_date","vh_w3_to_w1_ratio_capped = min(10, vh_week3_watch_min / vh_week1_watch_min)",3주차 대비 1주차 시청 강도 비율 상한값,1,60대,60대:promo_gt_nonpromo,0.03530916908243972,0.034048963718950186,0.10710830704521557,0.25009205536975404,vh_std_gap_days,1.1496799773323945
vh_std_gap_days,view_history,age_specific_strong,watch_day,vh_std_gap_days = std(gap_days),연속 시청일 사이 간격의 표준편차,1,60대,60대:promo_gt_nonpromo,0.03936687640305905,0.032021117976045586,0.11322818086225028,0.3030549393185605,vh_end_near_watch_ratio,1.255579681541256
genre_share__Action_Adventure,view_history,age_specific_exploratory,"genre, watch_time(min)",genre_share__Action_Adventure = sum_i watch_time_i x 1[genre_i = Action_Adventure] / sum_i watch_time_i,Action_Adventure 장르 시청 비중,1,40대,40대:promo_gt_nonpromo,0.047029112807013634,0.025568249975373124,0.054090431125131344,0.24003113633639755,vh_recent_release_180d_ratio,1.1884404719742034
vh_nonfiction_genre_share,view_history,age_specific_exploratory,"genre, watch_time(min)",vh_nonfiction_genre_share = genre_share(Documentary) + genre_share(Other),논픽션 또는 비정형 장르 시청 비중,1,20대,20대:promo_gt_nonpromo,0.028571610543345508,0.023333516669990638,0.06601472134595165,0.17278991643663924,vh_recent_release_180d_ratio,1.1311197886717028
vh_week4_watch_ratio,view_history,age_specific_exploratory,"watch_day, watch_time(min), reg_date",vh_week4_watch_ratio = vh_week4_watch_min / vh_total_watch_min,전체 시청 시간 중 4주차 시청 비중,1,30대,30대:promo_gt_nonpromo,0.010945249356140675,0.019778847430292613,0.0314976734673007,0.6035389955356729,vh_last_14d_watch_ratio,2.1903317744175737
vh_week4_watch_min,view_history,age_specific_exploratory,"watch_day, watch_time(min), reg_date",vh_week4_watch_min = sum_i watch_time_i x 1[week_index_i = 4],가입 후 4주차 누적 시청 시간,1,30대,30대:promo_gt_nonpromo,0.013245683299685382,0.018707111615717052,0.03275042184384103,0.5397615982678081,vh_week4_watch_ratio,1.5764203407435011
vh_tension_genre_share,view_history,age_specific_exploratory,"genre, watch_time(min)",vh_tension_genre_share = genre_share(Thriller_Crime) + genre_share(Horror),긴장감 계열 장르 시청 비중,1,30대,30대:promo_gt_nonpromo,0.021226675524407622,0.015604479762669298,0.032579332751518475,0.2538709695129623,vh_light_genre_share,1.1620244941173354
