column_name,patched_primary_role from 05b,patched_feature_family from 05b,patched_timing_family from 05b,05b overall allowed status,05b groupwise allowed status,06 status_for_06_primary_main_cohort_table if available,in_06_conservative_feature_table,AARRR_stage_primary,AARRR_stage_secondary,measurement_status,standard_analysis_status,reason,caveat,recommended_downstream_use
watch_time(min)_w1,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,activation,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
watch_time(min)_w2,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
watch_time(min)_w3,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
watch_session_w1,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,activation,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
watch_session_w2,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
watch_session_w3,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
retention_w2_ratio,retention,retention_ratio,week1_to_week2_change,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
retention_w3_ratio,retention,retention_ratio,week1_to_week3_change,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
diff_between_w2_w1,retention,retention_change,week1_to_week2_change,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
diff_between_w3_w1,retention,retention_change,week1_to_week3_change,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
diff_between_w3_w2,retention,retention_change,week2_to_week3_change,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_w1_over_50pct,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,activation,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_w2_over_50pct,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_w3_over_50pct,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_only_w1,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,activation,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_only_w2,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_only_w3,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
new_movie_in_90d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
new_movie_in_180d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
new_movie_in_365d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
old_movie_ratio(5y),genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
avg_ott_release_year,content_recency,content_metadata_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
genre_diversity_count,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
action_adventure_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
family_animation_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
drama_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
thriller_crime_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
sf_fantasy_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
comedy_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
romance_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
horror_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
documentary_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
historical_war_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
other_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
