column_name,AARRR_stage_primary,feature_family,timing_family,why_usable_conservatively,modeling_ladder_family_suggestion,expected_interpretation_if_important_later,caveat
watch_session_w3,retention,usage_observation,week3_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
retention_w2_ratio,retention,retention_ratio,week1_to_week2_change,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
retention_w3_ratio,retention,retention_ratio,week1_to_week3_change,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
diff_between_w2_w1,retention,retention_change,week1_to_week2_change,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
diff_between_w3_w1,retention,retention_change,week1_to_week3_change,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
diff_between_w3_w2,retention,retention_change,week2_to_week3_change,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_w1_over_50pct,activation,usage_observation,week1_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L1_activation_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_w2_over_50pct,retention,usage_observation,week2_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_w3_over_50pct,retention,usage_observation,week3_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_only_w1,activation,usage_observation,week1_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L1_activation_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_only_w2,retention,usage_observation,week2_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_only_w3,retention,usage_observation,week3_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
__summary_stage_count__activation,activation,,,count=6,,,
__summary_stage_count__retention,retention,,,count=16,,,
__summary_family_count__activation_onboarding,,activation_onboarding,,count=2,,,
__summary_family_count__retention_change,,retention_change,,count=3,,,
__summary_family_count__retention_ratio,,retention_ratio,,count=2,,,
__summary_family_count__usage_observation,,usage_observation,,count=15,,,
__summary_acquisition_feature_candidates__,acquisition,,,"Acquisition has only split metadata is_promotion, not ordinary conservative feature candidates.",,,Do not use is_promotion as groupwise model feature.
__summary_revenue_feature_candidates__,revenue_proxy,,,"Revenue has target proxy is_repurchase only, not a feature.",,,Do not use target as feature.
__summary_referral_feature_candidates__,referral_proposal_only,,,Referral has no observed feature in current data.,,,Future experiment proposal only.
