feature_set_name,original_feature_name,safe_model_feature_name,role,use_as_feature,AARRR_stage,feature_family,timing_family,source_table_or_source,caveat_flag,caveat_reason,downstream_allowed_scope,notes,mapping_basis,mapping_confidence,needs_user_review
conservative_safe_22,is_only_w3,is_only_w3,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,is_w1_over_50pct,is_w1_over_50pct,feature,True,Activation,early_week1_watch_behavior,week1,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,high,0
conservative_safe_22,is_w2_over_50pct,is_w2_over_50pct,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,is_w3_over_50pct,is_w3_over_50pct,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,retention_w2_ratio,retention_w2_ratio,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,retention_w3_ratio,retention_w3_ratio,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,watch_session_w1,watch_session_w1,feature,True,Activation,early_week1_watch_behavior,week1,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,high,0
conservative_safe_22,watch_session_w2,watch_session_w2,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,watch_session_w3,watch_session_w3,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,watch_time(min)_w1,watch_time_min_w1,feature,True,Activation,early_week1_watch_behavior,week1,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,high,0
conservative_safe_22,watch_time(min)_w2,watch_time_min_w2,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,watch_time(min)_w3,watch_time_min_w3,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,USER_KEY,USER_KEY,group_key,False,Identifier,identifier,not_time_bound,membership/source master,False,"USER_KEY is an identifier and group key, not a model feature.",grouping_or_join_only_not_model_feature,identifier only,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,high,0
conservative_safe_22,is_repurchase,is_repurchase,target,False,Revenue_proxy,target_proxy,post_observation_target,membership/source master,True,"is_repurchase is the target and may be described only as a Revenue proxy, not as a feature.",target_only_not_model_feature,target/proxy only,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,high,0
