feature_set_name,comparison_scope,AARRR_stage,feature_family,feature_count,compared_feature_count,avg_abs_difference_or_smd,max_abs_difference_or_smd,top_diff_features,caveat_count,needs_user_review_count,summary_note
expanded_feature_set,within_promotion_repurchase,Retention_context,content_preference_context,17,17,0.14811283369747816,0.525203487649314,"genre_diversity_count, thriller_crime_ratio, drama_ratio, action_adventure_ratio, romance_ratio",13,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_promotion_repurchase,Retention_context,historical_churn_prevention_context,1,1,0.04294895611288868,0.04294895611288868,is_churn_prevented,1,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Acquisition_context,membership_context,12,12,0.01744880772393305,0.03173258003766477,"is_basic, reg_is_weekend, payment_is_android, is_standard, payment_is_ios",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Activation,early_week1_watch_behavior,4,4,0.15752016460637303,0.29991910028911706,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, watch_session_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Activation,onboarding_cold_start_fixed,2,2,0.03914816583114508,0.07210153576828204,"is_cold_start_7d_fixed, is_cold_start_3d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Needs_user_review,profile_context_needs_review,4,4,0.02421904209903334,0.0397470471526651,"age_group, is_user_verified, is_male, is_female",0,4,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Retention,usage_retention_behavior,39,39,0.38443877071085764,0.7500986291124193,"watch_session_w3, watch_time_min_w3, recency, total_watch_time_min, max_watch_time_min",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Retention_context,content_preference_context,17,17,0.1615036684310025,0.575271818846664,"genre_diversity_count, thriller_crime_ratio, action_adventure_ratio, drama_ratio, romance_ratio",13,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_nonpromotion_repurchase,Retention_context,historical_churn_prevention_context,1,1,0.04233508395002786,0.04233508395002786,is_churn_prevented,1,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Acquisition_context,membership_context,12,12,0.10288608700020622,0.34788732394366195,"payment_is_ios, payment_is_mobile, is_premium, payment_is_pc, payment_is_android",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Activation,early_week1_watch_behavior,4,4,0.0051806084200917545,0.006463547991945699,"is_only_w1, is_w1_over_50pct, watch_session_w1, watch_time_min_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Activation,onboarding_cold_start_fixed,2,2,0.005486289642796405,0.010146996198918012,"is_cold_start_3d_fixed, is_cold_start_7d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Needs_user_review,profile_context_needs_review,4,4,0.3058550446656386,0.47276995305164315,"is_user_verified, age_group, is_female, is_male",0,4,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Retention,usage_retention_behavior,39,39,0.021369060433475036,0.05519503174629276,"avg_gap_w3_watch_days, recency, watch_session_w3, max_watch_time_min, active_ratio",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Retention_context,content_preference_context,17,17,0.01776913386750864,0.04518326281332927,"genre_diversity_count, romance_ratio, new_movie_in_90d_ratio, thriller_crime_ratio, documentary_ratio",13,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_1,Retention_context,historical_churn_prevention_context,1,1,0.05248695732939382,0.05248695732939382,is_churn_prevented,1,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Acquisition_context,membership_context,12,12,0.09621779147229174,0.3216572504708098,"payment_is_ios, payment_is_mobile, is_premium, payment_is_pc, payment_is_android",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Activation,early_week1_watch_behavior,4,4,0.04228994731966857,0.07287098277617798,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, watch_session_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Activation,onboarding_cold_start_fixed,2,2,0.03416523122641385,0.036877884577454556,"is_cold_start_7d_fixed, is_cold_start_3d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Needs_user_review,profile_context_needs_review,4,4,0.2947386181564028,0.44670433145009414,"is_user_verified, age_group, is_female, is_male",0,4,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Retention,usage_retention_behavior,39,39,0.0808697621842084,0.200481245961841,"watch_time_min_w3, watch_session_w3, recency, retention_w3_ratio, total_watch_time_min",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Retention_context,content_preference_context,17,17,0.028332143462878816,0.0947299006346628,"genre_diversity_count, new_movie_in_365d_ratio, old_movie_ratio_5y, new_movie_in_180d_ratio, family_animation_ratio",13,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,between_promotion_status_within_repurchase_0,Retention_context,historical_churn_prevention_context,1,1,0.051873085166532995,0.051873085166532995,is_churn_prevented,1,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
