original_feature_name,safe_model_feature_name,feature_family,model_use_plan,user_decision,final_status,formula,caveat_flag,caveat_reason
max_day_share,max_day_share,usage_summary,model_feature,approved,approved_for_expanded_feature_set,maximum daily watch_time(min) divided by total_watch_time(min),False,
day_count_over_3times,day_count_over_3times,usage_summary,model_feature,approved,approved_for_expanded_feature_set,number of active days with watch session count >= 3,False,
watch_time(min)_w1,watch_time_min_w1,usage_summary,model_feature,approved,approved_for_expanded_feature_set,sum of watch_time(min) in observation week 1,False,
watch_time(min)_w2,watch_time_min_w2,usage_summary,model_feature,approved,approved_for_expanded_feature_set,sum of watch_time(min) in observation week 2,False,
watch_time(min)_w3,watch_time_min_w3,usage_summary,model_feature,approved,approved_for_expanded_feature_set,sum of watch_time(min) in observation week 3,False,
watch_session_w1,watch_session_w1,usage_summary,model_feature,approved,approved_for_expanded_feature_set,count of watch sessions in observation week 1,False,
watch_session_w2,watch_session_w2,usage_summary,model_feature,approved,approved_for_expanded_feature_set,count of watch sessions in observation week 2,False,
watch_session_w3,watch_session_w3,usage_summary,model_feature,approved,approved_for_expanded_feature_set,count of watch sessions in observation week 3,False,
retention_w2_ratio,retention_w2_ratio,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch_session_w2 divided by watch_session_w1; guarded for zero denominator,False,
retention_w3_ratio,retention_w3_ratio,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch_session_w3 divided by watch_session_w1; guarded for zero denominator,False,
diff_between_w2_w1,diff_between_w2_w1,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch_session_w2 minus watch_session_w1,False,
diff_between_w3_w1,diff_between_w3_w1,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch_session_w3 minus watch_session_w1,False,
diff_between_w3_w2,diff_between_w3_w2,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch_session_w3 minus watch_session_w2,False,
is_w1_over_50pct,is_w1_over_50pct,usage_summary,model_feature,approved,approved_for_expanded_feature_set,1 if week 1 watch time share is greater than or equal to 50 percent else 0,False,
is_w2_over_50pct,is_w2_over_50pct,usage_summary,model_feature,approved,approved_for_expanded_feature_set,1 if week 2 watch time share is greater than or equal to 50 percent else 0,False,
is_w3_over_50pct,is_w3_over_50pct,usage_summary,model_feature,approved,approved_for_expanded_feature_set,1 if week 3 watch time share is greater than or equal to 50 percent else 0,False,
is_only_w1,is_only_w1,usage_summary,model_feature,approved,approved_for_expanded_feature_set,1 if watch activity exists only in week 1 among weeks 1 to 3 else 0,False,
is_only_w2,is_only_w2,usage_summary,model_feature,approved,approved_for_expanded_feature_set,1 if watch activity exists only in week 2 among weeks 1 to 3 else 0,False,
is_only_w3,is_only_w3,usage_summary,model_feature,approved,approved_for_expanded_feature_set,1 if watch activity exists only in week 3 among weeks 1 to 3 else 0,False,
new_movie_in_90d_ratio,new_movie_in_90d_ratio,content_recency,model_feature,approved,approved_for_expanded_feature_set,ratio of watched sessions or watch time mapped to content released within 90 days; source master value used as-is,False,
new_movie_in_180d_ratio,new_movie_in_180d_ratio,content_recency,model_feature,approved,approved_for_expanded_feature_set,ratio of watched sessions or watch time mapped to content released within 180 days; source master value used as-is,False,
new_movie_in_365d_ratio,new_movie_in_365d_ratio,content_recency,model_feature,approved,approved_for_expanded_feature_set,ratio of watched sessions or watch time mapped to content released within 365 days; source master value used as-is,False,
old_movie_ratio(5y),old_movie_ratio_5y,content_recency,model_feature,approved,approved_for_expanded_feature_set,source master value used as-is; raw Movie_Master reconstruction leaves 9-row mismatch caveat and no fixed replacement is created,True,Kwangil master value retained; raw Movie_Master reconstruction leaves 9-row mismatch; no fixed feature created
avg_ott_release_year,avg_ott_release_year,content_recency,model_feature,approved,approved_for_expanded_feature_set,mean OTT release year of watched content from Movie_Master_v2; source master value used as-is,False,
genre_diversity_count,genre_diversity_count,genre_content,model_feature,approved,approved_for_expanded_feature_set,count of distinct watched genre/category groups per user; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
action_adventure_ratio,action_adventure_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Action/Adventure category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
family_animation_ratio,family_animation_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Animation/Family category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
drama_ratio,drama_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Drama category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
thriller_crime_ratio,thriller_crime_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Thriller/Crime category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
sf_fantasy_ratio,sf_fantasy_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for SF/Fantasy category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
comedy_ratio,comedy_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Comedy category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
romance_ratio,romance_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Romance category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
horror_ratio,horror_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Horror category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
documentary_ratio,documentary_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Documentary category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
historical_war_ratio,historical_war_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for Historical/War category group; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
other_ratio,other_ratio,genre_content,model_feature,approved,approved_for_expanded_feature_set,watch_time(min) share for remaining category groups; source master value used as-is with Movie_Master multi-category caveat,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
is_basic,is_basic,membership_context,model_feature,approved,approved_for_expanded_feature_set,1 if max_screen is neither 2 nor 4 else 0; generated in 06x from max_screen,False,
is_cold_start_3d_fixed,is_cold_start_3d_fixed,fixed_policy_generated,model_feature,approved,approved_for_expanded_feature_set,"1 if first_watch_rel_day <= 2 else 0, where first_watch_rel_day = first watch day minus reg_date",True,fixed replacement approved for modeling; raw recomputation mismatch counts are recorded in formula validation summary
is_cold_start_7d_fixed,is_cold_start_7d_fixed,fixed_policy_generated,model_feature,approved,approved_for_expanded_feature_set,"1 if first_watch_rel_day <= 6 else 0, where first_watch_rel_day = first watch day minus reg_date",True,fixed replacement approved for modeling; raw recomputation mismatch counts are recorded in formula validation summary
