column_name,conceptual_AARRR_stage,why_review_required,what_confirmation_is_needed,possible_use_after_resolution,risk_if_used_now
is_premium,revenue_proxy,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
age_group,acquisition,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
is_female,acquisition,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
is_male,acquisition,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_is_weekend,activation,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_hour_morning,activation,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_hour_afternoon,activation,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_hour_evening,activation,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_hour_night,activation,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
payment_is_mobile,activation,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
payment_is_pc,activation,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
payment_is_android,activation,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
payment_is_ios,activation,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
total_watch_count,retention,Total usage column remains review until proven to be day0-20 only.,confirm_total_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
unique_movie,retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
watch_days,retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
active_ratio,retention,"active_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",confirm_usage_ratio_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
total_watch_time(min),retention,Total usage column remains review until proven to be day0-20 only.,confirm_total_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
watch_per_day,retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
avg_watch_time(min),retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
median_watch_time(min),retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
std_watch_time(min),retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
avg_daily_watch_time(min),retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
max_watch_time(min),retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
max_daily_watch_time(min),retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
max_daily_sessions,unknown_review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
recency,retention,Recency reference date is unresolved; it must be day21 scoring point or earlier.,confirm_recency_reference_date,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
avg_gap_between_watch_days,retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
max_inactive_gap_days,retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
avg_rewatch_ratio,retention,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",confirm_usage_ratio_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
weekend_watch_ratio,retention,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",confirm_usage_ratio_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
watch_ratio_under_1m,retention,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",confirm_usage_ratio_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
watch_ratio_under_5m,retention,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",confirm_usage_ratio_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
movie_per_active_day,retention,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
max_day_share,referral_proposal_only,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
day_count_over_3times,unknown_review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,confirm_usage_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
new_movie_in_90d_ratio,retention,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
new_movie_in_180d_ratio,retention,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
new_movie_in_365d_ratio,retention,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
old_movie_ratio(5y),retention,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
avg_ott_release_year,retention,Average release year is content metadata/recency; construction window remains unresolved.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
genre_diversity_count,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
action_adventure_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
family_animation_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
drama_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
thriller_crime_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
sf_fantasy_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
comedy_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
romance_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
horror_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
documentary_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
historical_war_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
other_ratio,retention,Actual genre/content preference column. Keep review until the observation window is documented.,confirm_content_window_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
