column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve
13,reg_hour,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
14,end_date,timing_review_required,subscription_anchor,end_date_ambiguous,scheduled-vs-posthoc end date unresolved,all_period_ambiguous,no,no,no,no,no,no,no,review,"scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,06_final_cohort_policy_must_resolve_end_date_timing
16,is_standard,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
17,is_premium,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
18,age_group,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
19,is_female,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
20,is_male,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
21,reg_is_weekend,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
22,reg_hour_morning,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
23,reg_hour_afternoon,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
24,reg_hour_evening,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
25,reg_hour_night,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
26,payment_is_mobile,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
27,payment_is_pc,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
28,payment_is_android,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
29,payment_is_ios,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
30,total_watch_count,aggregate_usage_review,usage_aggregate,total_period_ambiguous,total usage window unresolved,all_period_ambiguous,review,review,review,review,review,review,review,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_total_usage_window_before_modeling
31,unique_movie,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
32,watch_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
33,active_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
34,total_watch_time(min),aggregate_usage_review,usage_aggregate,total_period_ambiguous,total usage window unresolved,all_period_ambiguous,review,review,review,review,review,review,review,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_total_usage_window_before_modeling
35,watch_per_day,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
36,avg_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
37,median_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
38,std_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
39,avg_daily_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
40,max_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
41,max_daily_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
42,max_daily_sessions,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
43,recency,content_recency,content_recency,reference_date_ambiguous,recency reference date unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_recency_reference_date
44,avg_gap_between_watch_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
48,max_inactive_gap_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
49,avg_rewatch_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
50,weekend_watch_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
51,watch_ratio_under_1m,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
52,watch_ratio_under_5m,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
53,is_cold_start_3d,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
54,is_cold_start_7d,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
55,movie_per_active_day,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
56,max_day_share,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
57,day_count_over_3times,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
64,retention_w2_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,week2_observation,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
65,retention_w3_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,week3_observation,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
66,diff_between_w2_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_to_week2_change,review,review,review,review,review,review,review,review,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week2 change. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
67,diff_between_w3_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_to_week3_change,review,review,review,review,review,review,review,review,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week3 change. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
75,new_movie_in_90d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
76,new_movie_in_180d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
77,new_movie_in_365d_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
78,old_movie_ratio(5y),genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
79,avg_ott_release_year,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
80,genre_diversity_count,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
81,action_adventure_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
82,family_animation_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
83,drama_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
84,thriller_crime_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
85,sf_fantasy_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
86,comedy_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
87,romance_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
88,horror_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
89,documentary_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
90,historical_war_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
91,other_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling
