AARRR_stage,feature_name,feature_family,conservative_safe_22,expanded_feature_set,final_interpretation,guide_v3_use,caveat
Retention,is_w2_over_50pct,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention,is_w3_over_50pct,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention,max_daily_sessions,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,max_daily_watch_time_min,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,max_day_share,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,max_inactive_gap_days,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,max_watch_time_min,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,median_watch_time_min,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,movie_per_active_day,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention_context,new_movie_in_180d_ratio,content_preference_context,no,yes,Retention_context feature,main_table,
Retention_context,new_movie_in_365d_ratio,content_preference_context,no,yes,Retention_context feature,main_table,
Retention_context,new_movie_in_90d_ratio,content_preference_context,no,yes,Retention_context feature,main_table,
Retention_context,old_movie_ratio_5y,content_preference_context,no,yes,Retention_context feature,main_table,Use Kwangil master value as-is; raw Movie_Master reconstruction has 9-row mismatch caveat.
Retention_context,other_ratio,content_preference_context,no,yes,Retention_context feature,main_table,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.
Acquisition_context,payment_is_android,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,payment_is_ios,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,payment_is_mobile,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,payment_is_pc,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Retention,recency,usage_retention_behavior,no,yes,Retention feature,main_table,
Acquisition_context,reg_hour_afternoon,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,reg_hour_evening,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,reg_hour_morning,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,reg_hour_night,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Acquisition_context,reg_is_weekend,membership_context,no,yes,Context feature only; not a causal acquisition measurement.,main_table,
Retention,retention_w2_ratio,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention,retention_w3_ratio,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention_context,romance_ratio,content_preference_context,no,yes,Retention_context feature,main_table,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.
Retention_context,sf_fantasy_ratio,content_preference_context,no,yes,Retention_context feature,main_table,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.
Retention,std_watch_time_min,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention_context,thriller_crime_ratio,content_preference_context,no,yes,Retention_context feature,main_table,Movie_Master can have multiple category records for the same MOVIE_NUM; genre features require caveat handoff.
Retention,total_watch_count,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,total_watch_time_min,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,unique_movie,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,watch_days,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,watch_per_day,usage_retention_behavior,no,yes,Retention feature,main_table,
Retention,watch_ratio_under_1m,usage_retention_behavior,no,yes,Retention feature,main_table,Official dictionary uses <= 1 minute and <= 5 minutes thresholds.
Retention,watch_ratio_under_5m,usage_retention_behavior,no,yes,Retention feature,main_table,Official dictionary uses <= 1 minute and <= 5 minutes thresholds.
Activation,watch_session_w1,early_week1_watch_behavior,yes,yes,Activation feature,main_table,
Retention,watch_session_w2,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention,watch_session_w3,usage_retention_behavior,yes,yes,Retention feature,main_table,
Activation,watch_time_min_w1,early_week1_watch_behavior,yes,yes,Activation feature,main_table,
Retention,watch_time_min_w2,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention,watch_time_min_w3,usage_retention_behavior,yes,yes,Retention feature,main_table,
Retention,weekend_watch_ratio,usage_retention_behavior,no,yes,Retention feature,main_table,
Acquisition,is_promotion,acquisition_split_key,no,yes,split key and scope-conditional feature,main_table,"Allowed as a feature only for overall_with_promotion; excluded for overall_without_promotion, promotion_only, and nonpromotion_only."
