section,metric,value,count,ratio,note
top_reason,one_to_many_USER_KEY_to_USER_NUM,affected membership_row_id,205,,"Join complexity risk, but not by itself proof of temporal row expansion."
top_expanding_USER_KEY,rank_1,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,380,,raw_view_rows=19|joined_rows=399|membership_event_count=21
top_expanding_USER_KEY,rank_2,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,338,,raw_view_rows=26|joined_rows=364|membership_event_count=14
top_expanding_USER_KEY,rank_3,95c06ac068be9b5d5c22b5721259f9a72447a8f79b4f070d343f7e1f44db33bba6706a255a25e4c42cbfe8439601511f55c58b231e4d4c04c4a923a7bf581afd,186,,raw_view_rows=93|joined_rows=279|membership_event_count=3
top_expanding_USER_KEY,rank_4,baba1c14dcdecfb7538102b30e4cb0f1de2b0db35fdc5306c8df2bc196954d82db4e8a05c1ab4562dfde6bfca92fb5c94f6b94a4aca605c4e6a1e0673a00b24a,150,,raw_view_rows=50|joined_rows=200|membership_event_count=4
top_expanding_USER_KEY,rank_5,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,114,,raw_view_rows=38|joined_rows=152|membership_event_count=4
top_expanding_USER_KEY,rank_6,2e06fe3a9bd19c046ebc9e2a62a61b44d2278eddb048bfd76045766f62ed25be197b6cd6a52c65c858ff1143962c92c6d4ed9e021fc84b1ff510fc4250248d30,104,,raw_view_rows=104|joined_rows=208|membership_event_count=2
top_expanding_USER_KEY,rank_7,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,99,,raw_view_rows=11|joined_rows=110|membership_event_count=10
top_expanding_USER_KEY,rank_8,780f9ae1a82aeaffe1da44f3f51f770f3e169381aa6ccb1ab5a874ae9334e04fecc13b0a25f859e66bbc724c7be84e2be9e71a91a87c655cbe1172b51aae1f80,93,,raw_view_rows=31|joined_rows=124|membership_event_count=4
top_expanding_USER_KEY,rank_9,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,78,,raw_view_rows=26|joined_rows=104|membership_event_count=4
top_expanding_USER_KEY,rank_10,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,75,,raw_view_rows=25|joined_rows=100|membership_event_count=4
top_expanding_USER_KEY,rank_11,89650c59c905843525002ab7e970196d4ea04a86193a4dd6d8c3d26ac57e7f7c2478a5e8c7d57c5980c314e89e2f5fdab25a87a495d2ab015711f3401c2c8eed,75,,raw_view_rows=25|joined_rows=100|membership_event_count=4
top_expanding_USER_KEY,rank_12,103ba40b65d0f0529dfa9b66e1a1fbb7df86de198a9ed6c5d6eef1b15f2f89e140204a5c4aae334f1ae2b91008af49729948346962e4d6a7330c54782f54a3a3,66,,raw_view_rows=22|joined_rows=88|membership_event_count=4
top_expanding_USER_KEY,rank_13,fd77b680d4f9bfe25d663b880cc4097601888b1a1c0c22a87c9adc1f30673578b46b355fdc542a8b0dad5dda500fa1c25db251e05e8dfdd5a82c1d1a3c206fcd,63,,raw_view_rows=21|joined_rows=84|membership_event_count=4
top_expanding_USER_KEY,rank_14,a0e40506661ca05143feb4a9949ffc4261c249ec29dcc68cdb8c88ec264a2bf6b7baac018ff0530823ddd5cb3efd72106ed0857f62fd97efeb7eab299ec83e72,60,,raw_view_rows=20|joined_rows=80|membership_event_count=4
top_expanding_USER_KEY,rank_15,8f5d8a903132cff07ffcc50aff14854b977f8c8beba9189ca61ef3a6e1e2ec2d50ffa755ff9e5fde59778535b23584e2844fba29d6d9695482ba4b066d7f8c14,57,,raw_view_rows=19|joined_rows=76|membership_event_count=4
top_expanding_USER_KEY,rank_16,638304111623b221d3535beb1e6aafe04b2794ba90a8a734b582c5faf8924ce6a62f5d5ceb06dd11348172e8ec8dbbe54401a71058c9073a413fb3755795fd88,57,,raw_view_rows=19|joined_rows=76|membership_event_count=4
top_expanding_USER_KEY,rank_17,bc14ab67d03a57b069ec74983c03dcb35f6f3f3148fc5939484da3cc93be022e44677f3a42055127b151fc2a89425aae27841834721834518c6d5a67792366a5,54,,raw_view_rows=54|joined_rows=108|membership_event_count=2
top_expanding_USER_KEY,rank_18,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,54,,raw_view_rows=18|joined_rows=72|membership_event_count=4
top_expanding_USER_KEY,rank_19,8e7c2a309dab310d431faf504e9fe0de8cda99bac1293e5ef39931f7c06fdb7538d8f079ea8ff88d9bcfb64b039baf17ed7729e3743979e9065718ecbf0c8b89,54,,raw_view_rows=18|joined_rows=72|membership_event_count=4
top_expanding_USER_KEY,rank_20,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,50,,raw_view_rows=10|joined_rows=60|membership_event_count=6
